Zip Code,Population
6390,58
10001,"26,966"
10002,"76,807"
10003,"54,447"
10004,"4,795"
10005,"8,637"
10006,"3,894"
10007,"8,194"
10009,"60,000"
10010,"33,193"
10011,"51,867"
10012,"22,269"
10013,"29,563"
10014,"29,815"
10016,"56,758"
10017,"15,514"
10018,"8,063"
10019,"43,989"
10021,"42,484"
10022,"33,303"
10023,"65,891"
10024,"63,916"
10025,"96,918"
10026,"39,401"
10027,"65,840"
10028,"47,793"
10029,"77,661"
10030,"31,611"
10031,"61,801"
10032,"60,529"
10033,"60,739"
10034,"43,365"
10035,"37,042"
10036,"30,437"
10037,"19,374"
10038,"23,356"
10039,"27,234"
10040,"45,771"
10044,"12,155"
10065,"31,270"
10069,"5,774"
10075,"23,391"
10128,"58,147"
10162,"2,268"
10279,131
10280,"8,582"
10282,"6,419"
10301,"38,736"
10302,"18,144"
10303,"27,469"
10304,"43,849"
10305,"44,531"
10306,"55,805"
10307,"14,828"
10308,"30,353"
10309,"35,832"
10310,"25,976"
10312,"63,935"
10314,"93,736"
10451,"50,118"
10452,"79,838"
10453,"80,393"
10454,"38,908"
10455,"42,781"
10456,"90,314"
10457,"79,443"
10458,"86,757"
10459,"51,303"
10460,"59,979"
10461,"52,756"
10462,"78,470"
10463,"73,256"
10464,"4,417"
10465,"46,205"
10466,"75,767"
10467,"102,209"
10468,"82,480"
10469,"75,290"
10470,"16,446"
10471,"23,387"
10472,"66,720"
10473,"60,296"
10474,"11,312"
10475,"44,509"
10501,"1,452"
10502,"5,853"
10503,71
10504,"8,363"
10505,"1,249"
10506,"5,980"
10507,"6,706"
10509,"20,265"
10510,"10,592"
10511,"2,245"
10512,"24,340"
10514,"13,267"
10516,"5,639"
10517,485
10518,938
10519,157
10520,"13,071"
10522,"11,622"
10523,"9,717"
10524,"4,251"
10526,"1,813"
10527,594
10528,"13,546"
10530,"13,807"
10532,"5,103"
10533,"7,608"
10535,339
10536,"11,124"
10537,"2,572"
10538,"17,424"
10540,206
10541,"26,317"
10543,"21,563"
10545,149
10546,"1,068"
10547,"7,400"
10548,"4,078"
10549,"15,587"
10550,"39,360"
10552,"23,067"
10553,"10,259"
10560,"5,001"
10562,"33,850"
10566,"25,304"
10567,"20,901"
10570,"12,821"
10573,"41,181"
10576,"4,959"
10577,"6,059"
10578,"1,502"
10579,"8,279"
10580,"17,901"
10583,"41,532"
10588,"3,184"
10589,"7,042"
10590,"7,132"
10591,"23,392"
10594,"5,309"
10595,"8,019"
10596,951
10597,755
10598,"29,195"
10601,"10,929"
10603,"19,443"
10604,"11,740"
10605,"20,481"
10606,"15,795"
10607,"6,642"
10701,"66,002"
10703,"23,355"
10704,"32,767"
10705,"39,846"
10706,"9,050"
10707,"10,239"
10708,"23,014"
10709,"10,222"
10710,"26,319"
10801,"41,205"
10803,"12,953"
10804,"15,127"
10805,"21,260"
10901,"25,214"
10911,12
10913,"5,370"
10914,452
10915,68
10916,"4,384"
10917,"1,534"
10918,"12,753"
10919,"1,226"
10920,"8,776"
10921,"3,992"
10922,901
10923,"8,477"
10924,"13,859"
10925,"4,157"
10926,"3,902"
10927,"12,598"
10928,"4,900"
10930,"10,536"
10931,"1,110"
10932,27
10933,279
10940,"50,932"
10941,"14,415"
10950,"61,452"
10952,"46,448"
10954,"26,391"
10956,"30,664"
10958,"3,286"
10960,"15,145"
10962,"5,345"
10963,"4,652"
10964,"1,419"
10965,"15,527"
10968,"2,525"
10969,"1,061"
10970,"11,449"
10973,"2,432"
10974,"3,181"
10975,62
10976,"2,051"
10977,"70,743"
10980,"13,579"
10983,"5,839"
10984,"2,620"
10985,207
10986,"1,736"
10987,"3,753"
10988,722
10989,"8,339"
10990,"21,024"
10992,"9,591"
10993,"5,019"
10994,"6,937"
10996,"6,386"
10998,"3,602"
11001,"26,818"
11003,"46,200"
11004,"16,426"
11005,"2,075"
11010,"25,637"
11020,"6,097"
11021,"19,265"
11023,"10,169"
11024,"8,394"
11030,"17,589"
11040,"42,634"
11042,443
11050,"31,586"
11096,"9,084"
11101,"33,789"
11102,"27,876"
11103,"35,912"
11104,"27,575"
11105,"38,311"
11106,"40,472"
11109,"6,712"
11201,"68,777"
11203,"79,499"
11204,"82,140"
11205,"50,681"
11206,"90,903"
11207,"97,690"
11208,"107,724"
11209,"72,938"
11210,"65,854"
11211,"65,925"
11212,"78,296"
11213,"69,392"
11214,"95,361"
11215,"73,419"
11216,"62,210"
11217,"42,107"
11218,"76,370"
11219,"93,119"
11220,"93,584"
11221,"89,728"
11222,"39,669"
11223,"83,565"
11224,"48,110"
11225,"59,465"
11226,"99,776"
11228,"45,267"
11229,"85,538"
11230,"91,789"
11231,"40,311"
11232,"28,501"
11233,"85,633"
11234,"94,254"
11235,"84,859"
11236,"102,238"
11237,"50,590"
11238,"58,597"
11239,"15,917"
11249,"42,421"
11354,"53,375"
11355,"80,918"
11356,"27,295"
11357,"44,030"
11358,"38,103"
11360,"20,076"
11361,"30,006"
11362,"19,217"
11363,"7,424"
11364,"39,015"
11365,"45,439"
11366,"13,922"
11367,"42,362"
11368,"116,469"
11369,"31,550"
11370,"29,780"
11372,"67,252"
11373,"102,104"
11374,"47,019"
11375,"76,091"
11377,"85,255"
11378,"39,994"
11379,"39,805"
11385,"109,111"
11411,"21,605"
11412,"41,782"
11413,"45,661"
11414,"30,915"
11415,"20,351"
11416,"27,098"
11417,"33,236"
11418,"38,938"
11419,"50,107"
11420,"51,831"
11421,"42,704"
11422,"34,063"
11423,"30,983"
11426,"20,959"
11427,"25,890"
11428,"21,184"
11429,"28,643"
11430,222
11432,"64,858"
11433,"41,396"
11434,"66,424"
11435,"60,842"
11436,"21,248"
11439,"2,154"
11501,"21,353"
11507,"6,826"
11509,"1,691"
11510,"34,713"
11514,"4,725"
11516,"8,244"
11518,"10,248"
11520,"44,788"
11530,"28,550"
11542,"29,384"
11545,"11,841"
11547,488
11548,"2,068"
11549,"2,692"
11550,"60,673"
11552,"26,207"
11553,"27,150"
11554,"38,078"
11557,"8,234"
11558,"8,758"
11559,"8,427"
11560,"7,025"
11561,"39,140"
11563,"22,152"
11565,"9,077"
11566,"34,393"
11568,"4,428"
11569,"1,168"
11570,"28,462"
11572,"29,791"
11575,"18,143"
11576,"12,828"
11577,"12,125"
11579,"5,084"
11580,"43,414"
11581,"22,919"
11590,"48,436"
11596,"10,431"
11598,"14,058"
11691,"70,797"
11692,"24,639"
11693,"14,147"
11694,"22,432"
11697,"3,782"
11701,"27,831"
11702,"14,121"
11703,"17,754"
11704,"40,344"
11705,"8,241"
11706,"66,668"
11709,"6,780"
11710,"36,171"
11713,"9,128"
11714,"23,262"
11715,"4,092"
11716,"9,919"
11717,"65,992"
11718,"3,169"
11719,"3,508"
11720,"29,213"
11721,"6,409"
11722,"36,756"
11724,"2,916"
11725,"28,896"
11726,"21,674"
11727,"29,374"
11729,"26,306"
11730,"13,099"
11731,"31,115"
11732,"3,705"
11733,"17,177"
11735,"33,123"
11738,"19,401"
11739,"1,685"
11740,"10,469"
11741,"27,172"
11742,"12,946"
11743,"42,406"
11746,"67,873"
11747,"19,232"
11749,"3,541"
11751,"13,746"
11752,"9,146"
11753,"13,361"
11754,"17,884"
11755,"12,352"
11756,"43,571"
11757,"45,091"
11758,"54,135"
11762,"22,704"
11763,"29,808"
11764,"13,157"
11765,783
11766,"11,271"
11767,"14,190"
11768,"21,139"
11769,"8,855"
11770,139
11771,"10,032"
11772,"46,181"
11776,"23,292"
11777,"9,136"
11778,"12,092"
11779,"38,713"
11780,"16,114"
11782,"15,388"
11783,"21,830"
11784,"25,251"
11786,"6,670"
11787,"34,815"
11788,"16,578"
11789,"7,610"
11790,"19,319"
11791,"26,075"
11792,"8,879"
11793,"31,350"
11794,"1,279"
11795,"25,839"
11796,"3,911"
11797,"9,137"
11798,"18,134"
11801,"41,099"
11803,"30,067"
11804,"4,594"
11901,"32,534"
11930,780
11932,"1,066"
11933,"6,781"
11934,"7,889"
11935,"3,114"
11937,"20,819"
11939,"1,331"
11940,"5,005"
11941,"2,426"
11942,"5,428"
11944,"4,696"
11946,"17,027"
11948,526
11949,"12,744"
11950,"17,264"
11951,"14,686"
11952,"4,949"
11953,"14,300"
11954,"4,272"
11955,"2,863"
11956,319
11957,"1,037"
11958,802
11959,542
11960,990
11961,"12,878"
11962,253
11963,"8,438"
11964,"3,101"
11965,560
11967,"27,621"
11968,"13,481"
11970,523
11971,"6,769"
11972,570
11973,35
11975,391
11976,"2,093"
11977,"3,219"
11978,"3,636"
11980,"4,804"
12007,304
12008,539
12009,"8,394"
12010,"27,324"
12015,"3,580"
12017,400
12018,"7,470"
12019,"14,681"
12020,"33,896"
12022,931
12023,"2,098"
12024,59
12025,"5,221"
12027,"4,423"
12028,819
12029,"1,045"
12031,196
12032,635
12033,"8,079"
12035,417
12036,226
12037,"4,501"
12040,25
12041,599
12042,283
12043,"7,872"
12045,571
12046,536
12047,"23,236"
12051,"6,405"
12052,"2,149"
12053,"4,133"
12054,"16,578"
12056,"2,277"
12057,"2,232"
12058,974
12059,"1,491"
12060,"1,826"
12061,"10,072"
12062,"1,561"
12063,685
12064,357
12065,"44,139"
12066,"1,628"
12067,"1,518"
12068,"2,839"
12069,391
12070,"2,220"
12071,204
12072,"3,027"
12074,"2,844"
12075,"2,816"
12076,"1,208"
12077,"6,917"
12078,"23,048"
12082,2
12083,"3,905"
12084,"4,863"
12085,318
12086,"1,712"
12087,"1,108"
12090,"5,701"
12092,"1,415"
