"zip","population","city","county"
"10001",25026,"New York City","New York"
"10002",74363,"New York City","New York"
"10003",54671,"New York City","New York"
"10004",3310,"New York City","New York"
"10005",8664,"New York City","New York"
"10006",3260,"New York City","New York"
"10007",7566,"New York City","New York"
"10009",58267,"New York City","New York"
"10010",34763,"New York City","New York"
"10011",50228,"New York City","New York"
"10012",23034,"New York City","New York"
"10013",28657,"New York City","New York"
"10014",29071,"New York City","New York"
"10016",52912,"New York City","New York"
"10017",16065,"New York City","New York"
"10018",8135,"New York City","New York"
"10019",45521,"New York City","New York"
"10021",42253,"New York City","New York"
"10022",31574,"New York City","New York"
"10023",62228,"New York City","New York"
"10024",60714,"New York City","New York"
"10025",92162,"New York City","New York"
"10026",38937,"New York City","New York"
"10027",64728,"New York City","New York"
"10028",47962,"New York City","New York"
"10029",74617,"New York City","New York"
"10030",30996,"New York City","New York"
"10031",60280,"New York City","New York"
"10032",59527,"New York City","New York"
"10033",58648,"New York City","New York"
"10034",41933,"New York City","New York"
"10035",36999,"New York City","New York"
"10036",28231,"New York City","New York"
"10037",19177,"New York City","New York"
"10038",24205,"New York City","New York"
"10039",27090,"New York City","New York"
"10040",45197,"New York City","New York"
"10044",12770,"New York City","New York"
"10069",6504,"New York City","New York"
"10128",57993,"New York City","New York"
"10162",1240,"New York City","New York"
"10280",9372,"New York City","New York"
"10282",6086,"New York City","New York"
"10301",38001,"Staten Island","Richmond"
"10302",17942,"Staten Island","Richmond"
"10303",27164,"Staten Island","Richmond"
"10304",42133,"Staten Island","Richmond"
"10305",42968,"Staten Island","Richmond"
"10306",54318,"Staten Island","Richmond"
"10307",15053,"Staten Island","Richmond"
"10308",28901,"Staten Island","Richmond"
"10309",33896,"Staten Island","Richmond"
"10310",24168,"Staten Island","Richmond"
"10312",61114,"Staten Island","Richmond"
"10314",89938,"Staten Island","Richmond"
"10451",49423,"Bronx","Bronx"
"10452",74379,"Bronx","Bronx"
"10453",78858,"Bronx","Bronx"
"10454",37807,"Bronx","Bronx"
"10455",40300,"Bronx","Bronx"
"10456",90479,"Bronx","Bronx"
"10457",74679,"Bronx","Bronx"
"10458",85893,"Bronx","Bronx"
"10459",48391,"Bronx","Bronx"
"10460",57514,"Bronx","Bronx"
"10461",51081,"Bronx","Bronx"
"10462",75441,"Bronx","Bronx"
"10463",70236,"Bronx","Bronx"
"10464",4322,"Bronx","Bronx"
"10465",45066,"Bronx","Bronx"
"10466",74519,"Bronx","Bronx"
"10467",100867,"Bronx","Bronx"
"10468",78778,"Bronx","Bronx"
"10469",72550,"Bronx","Bronx"
"10470",15500,"Bronx","Bronx"
"10471",22577,"Bronx","Bronx"
"10472",67989,"Bronx","Bronx"
"10473",59627,"Bronx","Bronx"
"10474",11579,"Bronx","Bronx"
"10475",43791,"Bronx","Bronx"
"10501",1237,"Amawalk","Westchester"
"10502",5351,"Ardsley","Westchester"
"10504",8053,"Armonk","Westchester"
"10505",1336,"Baldwin Place","Westchester"
"10506",5555,"Bedford","Westchester"
"10507",7152,"Bedford Hills","Westchester"
"10509",20230,"Brewster","Putnam"
"10510",10300,"Briarcliff Manor","Westchester"
"10511",2300,"Buchanan","Westchester"
"10512",24619,"Carmel","Putnam"
"10514",12543,"Chappaqua","Westchester"
"10516",5449,"Cold Spring","Putnam"
"10517",497,"Crompond","Westchester"
"10518",1041,"Cross River","Westchester"
"10519",305,"Croton Falls","Westchester"
"10520",12885,"Croton On Hudson","Westchester"
"10522",11052,"Dobbs Ferry","Westchester"
"10523",9415,"Elmsford","Westchester"
"10524",4317,"Garrison","Putnam"
"10526",1860,"Goldens Bridge","Westchester"
"10527",829,"Granite Springs","Westchester"
"10528",13395,"Harrison","Westchester"
"10530",12925,"Hartsdale","Westchester"
"10532",4739,"Hawthorne","Westchester"
"10533",7463,"Irvington","Westchester"
"10535",254,"Jefferson Valley","Westchester"
"10536",11002,"Katonah","Westchester"
"10537",2769,"Lake Peekskill","Putnam"
"10538",16151,"Larchmont","Westchester"
"10541",26678,"Mahopac","Putnam"
"10543",20999,"Mamaroneck","Westchester"
"10546",1085,"Millwood","Westchester"
"10547",8034,"Mohegan Lake","Westchester"
"10548",4087,"Montrose","Westchester"
"10549",16121,"Mount Kisco","Westchester"
"10550",36382,"Mount Vernon","Westchester"
"10552",21342,"Mount Vernon","Westchester"
"10553",9747,"Mount Vernon","Westchester"
"10560",4814,"North Salem","Westchester"
"10562",31847,"Ossining","Westchester"
"10566",24111,"Peekskill","Westchester"
