County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference,NYS Municipal Boundaries
Steuben,756126,Store,JAC,7-ELEVEN INC,7 ELEVEN STORE #35111J,26,MAIN ST,,,ARKPORT,NY,14807,0,POINT (-77.69553 42.39369),31
Queens,756125,Store,JAC,7-ELEVEN INC,7-ELEVEN STORE #35026H,253-02,UNION TPKE.,,,GLEN OAKS,NY,11004,0,POINT (-73.71744 40.74408),196
Suffolk,756123,Store,JAC,7-ELEVEN INC,7-ELEVEN STORE #39557H,210,MASTIC BEACH RD,,,MASTIC BEACH,NY,11951,0,POINT (-72.84823 40.77852),1022
Richmond,756121,Store,JAC,LA ROCA FUERTE DELI & GROCERY COR,LA ROCA FUERTE DELI & G,570,MIDLAND AVE,,,STATEN ISLAND,NY,10306,0,POINT (-74.09327 40.5724),585
Queens,756120,Store,JAC,JACKSONS DELI INC,MILLIE'S DELI,13-01,JACKSON AVE,,,LONG ISLAND CITY,NY,11101,0,POINT (-73.94959 40.74412),196
Queens,756118,Store,JAC,PRODUCTOS MEXICANOS LA GUAD LLC,PRODUCTOS MEX LA GUDALU,92-24,CORONA AVE,,,ELMHURST,NY,11373,1100,POINT (-73.87145 40.74241),196
Onondaga,756116,Store,JAC,MOONLIGHT DELI LLC,MOONLIGHT DELI,2829,JAMES ST,,,SYRACUSE,NY,13206,0,POINT (-76.10659 43.06886),687
Albany,756115,Store,JAC,HILLBELLYS LLC,HILLBELLY'S,585,STATE RT 143,,,WESTERLO,NY,12193,2000,POINT (-74.04433 42.515),827
New York,756114,Store,JAC,NY A&M 1990 CORP,NY A&M 1990,1187,1ST AVE,,,NEW YORK,NY,10065,0,POINT (-73.95954 40.76297),749
Nassau,756113,Store,JAC,SRIKAJAN CORP,7-ELEVEN STORE #38095A,315-333,OAK ST,,,UNIONDALE,NY,11553,0,POINT (-73.60653 40.72191),62
Kings,756111,Store,JAC,ARIAS DELI CORP,ARIAS DELI,235,SCHENECTADY AVE,,,BROOKLYN,NY,11213,0,POINT (-73.9337 40.6709),894
Kings,756110,Store,JAC,RAMZY CONVENIENCE CORP,RAMZY CONVENIENCE,9801,AVENUE L,,,BROOKLYN,NY,11236,0,POINT (-73.89415 40.63939),894
